pickup_longitude,pickup_latitude,pickup_date,pickup_time,pickup_hour,farePerDistance,trip_distance,fare_amount,dropoff_longitude,dropoff_latitude,dropoff_date,dropoff_time,dropoff_hour,payment_type,WWH,pickup_block_int,dropoff_block_int
-73.97558594,40.75137329,4/21/15,6:53:58,6,5.454545455,1.1,6,-73.97678375,40.73913193,4/21/15,6:58:46,6,1,1,21,75
-73.99214172,40.74978638,4/7/15,10:48:48,10,3.395061728,8.1,27.5,-73.94070435,40.84170151,4/7/15,11:15:09,11,0,1,20,191
-74.00362396,40.74968719,4/7/15,12:37:03,12,5.882352941,0.85,5,-74.00434875,40.74269867,4/7/15,12:41:27,12,0,1,90,90
-73.95939636,40.77133179,4/21/15,12:17:25,12,4.857142857,1.75,8.5,-73.97772217,40.7790451,4/21/15,12:26:46,12,1,1,129,187
-73.98048401,40.75511932,4/21/15,14:16:56,14,7.692307692,1.3,10,-73.97885895,40.74038696,4/21/15,14:31:01,14,0,1,20,75
-73.95218658,40.78671265,4/7/15,18:06:42,18,6.422018349,1.09,7,-73.95874786,40.77494049,4/7/15,18:14:00,18,0,1,181,179
-73.97766876,40.74947357,4/7/15,19:15:05,19,4.585152838,2.29,10.5,-73.99967957,40.72842407,4/7/15,19:28:55,19,0,1,75,91
-74.00337219,40.72702026,4/21/15,19:40:47,19,3.679245283,5.3,19.5,-73.95109558,40.77672577,4/21/15,20:04:23,20,0,1,106,67
-73.95210266,40.7779808,4/21/15,20:58:32,20,3.008595989,6.98,21,-73.91132355,40.85490036,4/21/15,21:13:06,21,0,1,67,117
-73.96599579,40.78985977,4/7/15,23:42:05,23,8,0.5,4,-73.96986389,40.79435349,4/7/15,23:45:18,23,1,1,184,187
-73.99078369,40.75086594,4/8/15,5:44:14,5,5,1.3,6.5,-73.97460938,40.74193954,4/8/15,5:49:53,5,1,1,20,75
-73.96528625,40.76511383,4/22/15,7:02:38,7,8.653846154,0.52,4.5,-73.95766449,40.76180267,4/22/15,7:06:01,7,1,1,179,129
-73.9536438,40.76678085,4/22/15,8:38:36,8,3.743315508,5.61,21,-74.00557709,40.72854614,4/22/15,9:01:03,9,0,1,129,106
-73.98486328,40.7598114,4/8/15,11:45:03,11,8,0.5,4,-73.98996735,40.75677872,4/8/15,11:48:25,11,1,1,20,20
-73.97851563,40.78811646,4/8/15,13:24:30,13,5.053191489,1.88,9.5,-73.95163727,40.7761116,4/8/15,13:35:45,13,0,1,187,67
-73.97808075,40.7783699,4/8/15,15:04:10,15,6.692913386,1.27,8.5,-73.98262024,40.76470184,4/8/15,15:14:25,15,0,1,180,20
-74.01498413,40.70715332,4/22/15,16:01:24,16,3.931847969,7.63,30,-73.94809723,40.77217102,4/22/15,16:46:35,16,0,1,37,67
-73.98800659,40.75877762,4/22/15,17:59:04,17,8.474576271,0.59,5,-73.99024963,40.75111008,4/22/15,18:03:36,18,1,1,20,20
-73.99367523,40.75716019,4/8/15,20:04:52,20,5.238095238,2.1,11,-73.97839355,40.78063965,4/8/15,20:19:20,20,0,1,14,187
-73.98396301,40.76164627,4/8/15,21:14:45,21,5.05952381,1.68,8.5,-73.99728394,40.74723816,4/8/15,21:24:17,21,0,1,20,90
-73.98682404,40.76125717,4/22/15,22:22:09,22,3.767123288,2.92,11,-73.954216,40.78409195,4/22/15,22:33:12,22,0,1,20,179
-73.98742676,40.75933838,4/22/15,23:53:31,23,5.909090909,1.1,6.5,-73.9822998,40.77452087,4/22/15,23:59:32,23,1,1,20,180
-73.9822464,40.7784462,4/9/15,6:41:41,6,4.565217391,2.3,10.5,-73.99136353,40.74975967,4/9/15,6:52:37,6,0,1,180,20
-74.00248718,40.73950958,4/9/15,8:27:57,8,6.818181818,1.1,7.5,-73.98776245,40.74124146,4/9/15,8:37:08,8,0,1,91,90
-73.9797821,40.77080154,4/23/15,9:44:54,9,6.176470588,1.7,10.5,-73.95445251,40.76525116,4/23/15,9:59:21,9,0,1,184,129
-73.98764801,40.71966934,4/23/15,11:23:48,11,6.111111111,0.9,5.5,-73.97821808,40.72899628,4/23/15,11:29:08,11,0,1,107,189
-73.98336792,40.78129959,4/9/15,13:37:01,13,8.75,0.4,3.5,-73.98722076,40.77614975,4/9/15,13:38:38,13,1,1,187,180
-73.9589386,40.78335953,4/9/15,15:12:21,15,10.37037037,1.35,14,-73.97173309,40.76610565,4/9/15,15:34:19,15,0,1,179,184
-73.97009277,40.78911972,4/23/15,16:59:32,16,4.583333333,3.6,16.5,-73.95343781,40.78818512,4/23/15,17:21:30,17,0,1,187,181
-74.00611877,40.70576096,4/23/15,18:29:54,18,3.521126761,4.97,17.5,-73.9673233,40.7522316,4/23/15,18:50:07,18,0,1,37,21
-73.97674561,40.75014496,4/9/15,20:13:21,20,6.363636364,1.1,7,-73.98970795,40.74171448,4/9/15,20:21:52,20,0,1,75,90
-73.99269104,40.75278473,4/9/15,21:24:59,21,3.75,4,15,-73.94981384,40.78448868,4/9/15,21:41:45,21,1,1,20,67
-73.97009277,40.76276016,4/23/15,22:23:24,22,4.791666667,2.4,11.5,-73.99737549,40.74655914,4/23/15,22:36:57,22,0,1,20,90
-73.96733856,40.76653671,4/23/15,23:44:32,23,3.430656934,6.85,23.5,-73.89904022,40.70605087,4/24/15,0:09:01,0,1,1,179,99
-73.99031067,40.76688385,4/10/15,5:35:34,5,2.926208651,7.86,23,-73.8710556,40.77178192,4/10/15,5:53:38,5,0,1,14,158
-73.97260284,40.78656769,4/10/15,8:12:36,8,5.3125,1.6,8.5,-73.95349121,40.78821182,4/10/15,8:22:25,8,1,1,187,181
-73.96347809,40.75584412,4/24/15,8:51:54,8,6.666666667,1.2,8,-73.96226501,40.76755142,4/24/15,9:01:43,9,0,1,21,179
-73.95579529,40.78291702,4/24/15,10:29:07,10,7.692307692,1.3,10,-73.97480011,40.78759766,4/24/15,10:42:46,10,0,1,179,187
-73.95602417,40.78142548,4/10/15,13:30:35,13,7.142857143,0.7,5,-73.96051788,40.77278137,4/10/15,13:35:13,13,0,1,179,179
-73.9702301,40.75922775,4/10/15,15:08:22,15,11,0.5,5.5,-73.96937561,40.76368713,4/10/15,15:14:26,15,0,1,21,179
-73.95442963,40.78110886,4/10/15,16:56:01,16,6.25,1.52,9.5,-73.96867371,40.7606163,4/10/15,17:08:15,17,1,1,179,21
-74.01244354,40.70690918,4/24/15,18:07:09,18,6.637168142,1.13,7.5,-74.00557709,40.71801376,4/24/15,18:16:44,18,0,1,37,106
-73.98032379,40.75432968,4/24/15,19:23:41,19,6.25,0.8,5,-73.9881897,40.74344635,4/24/15,19:27:57,19,0,1,20,90
-73.97063446,40.79891968,4/10/15,21:26:16,21,4.137931034,5.8,24,-73.97976685,40.74344635,4/10/15,21:55:25,21,0,1,187,75
-73.97838593,40.77789688,4/10/15,22:45:04,22,4.782608696,2.3,11,-73.9646225,40.75704575,4/10/15,22:58:42,22,1,1,180,21
-73.7822876,40.64466095,4/24/15,23:15:29,23,2.858880779,16.44,47,-73.91607666,40.75586319,4/24/15,23:50:57,23,1,1,158,54
-74.00553894,40.70704269,4/25/15,0:28:58,0,4.342105263,3.8,16.5,-74.00453949,40.75189972,4/25/15,0:49:01,0,0,2,37,90
-73.98543549,40.73178864,4/11/15,4:47:15,4,6.349206349,0.63,4,-73.98526001,40.72601318,4/11/15,4:48:58,4,1,2,188,188
-73.97808075,40.75225067,4/11/15,9:20:57,9,5.666666667,1.5,8.5,-74.00036621,40.75827789,4/11/15,9:30:58,9,1,2,75,90
-73.97955322,40.67438126,4/25/15,9:29:53,9,3.886554622,4.76,18.5,-74.00614166,40.73423004,4/25/15,9:49:31,9,0,2,176,91
-73.94930267,40.77346039,4/25/15,11:11:45,11,3.789126853,6.07,23,-73.90698242,40.74544144,4/25/15,11:37:38,11,0,2,67,48
-73.99434662,40.73225021,4/11/15,14:53:12,14,7.857142857,1.4,11,-73.99742889,40.74676514,4/11/15,15:09:39,15,0,2,91,90
-74.00637054,40.73931885,4/11/15,16:29:45,16,11.82432432,1.48,17.5,-74.00182343,40.74079895,4/11/15,16:59:28,16,0,2,91,90
-74.00797272,40.70717239,4/25/15,16:25:44,16,3.833333333,3,11.5,-73.98213959,40.72363663,4/25/15,16:36:42,16,1,2,37,189
