Boro,Count_Biz,Count_NonBiz,TraveledDistance_Biz,TraveledDistance_NonBiz,FarePerDistance_Biz,FarePerDistance_NonBiz,PercentagePayingCash
Bellerose,348,128,5.234902682,5.334686756,5.367132238,4.613681689,0.749822711
Glen Oaks-Floral Park-New Hyde Park,179,87,3.871246477,2.175817551,4.914528909,2.593533298,0.602974008
Mount Hope,821,579,3.466453121,3.503068582,4.968945148,4.843405664,0.699228779
Ocean Parkway South,447,286,4.136073769,3.949099563,5.045531111,5.107753942,0.595110317
Flushing,2306,1647,4.587194409,4.552025015,4.616738805,4.520873881,0.70034941
West New Brighton-New Brighton-St. George,62,22,2.880538194,1.78625,3.393971561,1.687133144,0.633164983
SoHo-TriBeCa-Civic Center-Little Italy,2422208,1035104,20.06258144,3.781297615,5.339462216,5.173621926,0.338607933
Chinatown,730687,607686,30.72648953,5.646094491,5.30118655,5.121987879,0.364362146
Stuyvesant Town-Cooper Village,158559,97509,46.02362963,10.03233434,5.474197011,5.256860811,0.307842492
Grasmere-Arrochar-Ft. Wadsworth,94,45,3.758628472,3.415525794,3.715651004,2.030725654,0.525761268
Old Town-Dongan Hills-South Beach,25,13,4.225347222,0.7234375,1.401294057,1.070355974,0.496843434
North Riverdale-Fieldston-Riverdale,407,257,5.289544266,5.027923102,4.285362884,4.177915828,0.580113508
Spuyten Duyvil-Kingsbridge,1160,912,4.044280016,4.100461634,4.686929427,4.617901849,0.647836356
Flatbush,5431,3940,4.288085054,4.366738694,4.730914417,4.564866764,0.50876742
Woodlawn-Wakefield,186,199,3.659151707,3.81598709,4.41787742,3.945248,0.75908348
Oakwood-Oakwood Beach,5,8,0.596875,1.255416667,0.454005064,0.48816633,0.291666667
Kingsbridge Heights,635,510,3.358310307,4.529077211,5.292607612,4.581710288,0.720776466
University Heights-Morris Heights,902,643,3.718483318,3.386805419,4.888667142,4.906515479,0.683137667
Melrose South-Mott Haven North,2705,1632,3.298648873,3.050370846,5.338593555,5.011078498,0.706153377
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,31,36,3.30546875,3.783375,2.18250443,2.229741062,0.566959707
Hammels-Arverne-Edgemere,98,21,4.64968254,2.6975,3.599408662,1.844324428,0.398241342
East Tremont,351,293,3.545349581,3.693406442,5.028841758,4.506787585,0.675738896
Van Nest-Morris Park-Westchester Square,570,318,4.378941007,4.005808481,4.757181692,4.593186081,0.715627964
Forest Hills,9483,4806,4.101792503,4.216881044,4.80846466,4.719448411,0.567879815
Kew Gardens,2807,1209,4.841298193,5.136229724,4.724516111,4.473611345,0.547503267
Fort Greene,51989,34174,3.421657747,3.511158725,4.999920014,4.756324659,0.43760422
Claremont-Bathgate,508,306,3.251277105,3.339375045,4.961817772,4.973638524,0.700328477
Fordham South,260,224,3.339850896,3.079982586,4.63641485,4.937238934,0.733914048
East Harlem North,160711,89295,57.54513008,2.906840432,5.258231475,4.861379496,0.572448646
Lenox Hill-Roosevelt Island,2197284,789865,25.43105364,2.753726882,5.614646531,5.089171573,0.386701728
Queensbridge-Ravenswood-Long Island City,60894,36238,3.205031265,3.30628468,4.921672591,4.603378037,0.519236522
Mott Haven-Port Morris,8614,5470,3.302185759,3.497404825,5.050990389,4.650359146,0.631735751
Steinway,38742,23243,3.68251057,3.817147478,5.031382876,4.776939589,0.507604398
Oakland Gardens,58,40,5.781649306,3.006979167,2.826943394,1.93951942,0.573250361
College Point,318,148,5.231703916,4.603335648,4.267882974,4.211508452,0.649023207
East Concourse-Concourse Village,1903,1259,3.079846779,3.012776818,5.290616562,5.067008585,0.675655197
Pelham Parkway,329,263,4.323787644,3.934707912,4.388183438,4.34744023,0.734288601
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,151217,77840,3.95109084,6.403397837,4.631967225,4.571302096,0.388056217
West Farms-Bronx River,288,254,4.283314428,4.677995612,4.577742786,4.147747775,0.663152835
Parkchester,456,313,4.830660749,4.994064421,4.807024715,4.458967478,0.677370431
Soundview-Bruckner,429,334,4.092340079,3.79694195,4.641292359,4.488664622,0.692833436
Bedford Park-Fordham North,505,370,3.178503319,3.411435445,5.272138208,4.854693034,0.736506767
Norwood,415,243,4.377540554,5.691043132,4.647408992,4.364660007,0.662447054
Hunts Point,509,340,3.914588929,4.11003541,5.005623572,4.48074128,0.614139418
Crotona Park East,330,199,3.614024119,3.471022032,4.82467591,4.542551456,0.678356624
Grymes Hill-Clifton-Fox Hills,43,18,2.266527778,3.214895833,2.340062474,1.49745599,0.637748016
New Brighton-Silver Lake,22,12,2.161631944,0.814166667,1.179439476,0.942899652,0.5625
Co-op City,243,133,4.362630979,5.581232639,4.739016575,3.560288216,0.574597738
Prospect Heights,19143,15286,3.524590211,3.528856482,5.057242358,4.835214438,0.389436149
Dyker Heights,328,234,4.145638482,4.816763355,4.863816769,3.876717499,0.567809869
Bay Ridge,2343,1665,5.238059297,5.489967488,4.624637797,4.472470229,0.545296033
Far Rockaway-Bayswater,116,16,2.947142451,2.041208333,3.08433765,0.887089855,0.463695711
Elmhurst,15816,10718,3.458024565,3.308469046,5.250298432,5.198472718,0.682682842
Elmhurst-Maspeth,7441,4730,3.200855713,3.16358195,5.025713266,4.966488661,0.697501177
Springfield Gardens South-Brookville,2381,772,13.60707975,12.7714563,3.71757827,3.608196972,0.470450281
Lindenwood-Howard Beach,305,134,10.02289561,8.56324504,4.269782442,3.805515083,0.47152969
Rosedale,175,68,7.709129464,5.386614583,3.716301092,2.604403437,0.561061159
Jackson Heights,29246,19503,3.409247694,3.25705735,5.118000488,5.067413885,0.682379552
Airport,2383274,788460,31.75463379,224.8193626,3.135656255,3.030646148,0.363685416
Woodhaven,948,564,5.060954689,5.031750542,4.697547784,4.361447061,0.616763817
Brooklyn Heights-Cobble Hill,65772,28824,81.17921816,4.307803735,4.722016379,4.50897958,0.362637179
Carroll Gardens-Columbia Street-Red Hook,81227,39766,3.947005702,3.99929477,4.944394417,4.709774545,0.379137517
North Side-South Side,172771,177148,3.321379867,3.477720311,5.128222315,4.930798703,0.345744812
Hamilton Heights,51024,30514,3.494777791,3.495742544,5.007135425,4.883633228,0.478860192
Central Harlem North-Polo Grounds,69139,39038,2.669449436,4.15083714,5.511629354,5.205527045,0.547812164
New Springville-Bloomfield-Travis,31,30,3.915520833,3.765173611,2.136341414,2.059727921,0.474074074
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,25,21,3.545694444,1.632604167,1.857531939,1.05409345,0.657638889
Seagate-Coney Island,108,148,4.891986479,6.622314538,4.343218981,4.316064305,0.704186049
West Brighton,60,47,4.633125,5.092378472,3.295568803,2.504554626,0.593051256
East New York,1152,783,5.013157467,5.075983334,4.955422171,4.564341953,0.612974535
Canarsie,461,311,5.686079261,5.240953436,4.700695774,4.375220278,0.607418428
Glendale,460,328,4.63280635,3.697199401,4.391814466,4.548337893,0.644829437
Middle Village,823,628,4.819340033,4.355730849,4.708862653,4.566784326,0.583322248
Marble Hill-Inwood,5006,4067,4.625429822,4.754916177,4.735373005,4.561348684,0.533745074
Belmont,314,267,4.199853135,4.766217104,5.001479462,4.619298341,0.629483647
Central Harlem South,152127,85943,28.77737503,2.807054065,5.437574845,5.143431771,0.468679867
Park Slope-Gowanus,84033,59230,3.566783762,17.76375983,5.091234754,4.921359766,0.392664473
Sunset Park West,5786,4702,4.155309541,3.950898269,4.761824896,4.616000518,0.456009216
Cypress Hills-City Line,362,265,5.748198616,4.912087352,4.834342883,4.827819728,0.51819865
Upper East Side-Carnegie Hill,3866232,1206246,12.26958954,5.111761602,5.925838805,5.314982733,0.42160726
Lincoln Square,2016628,808382,11.68480039,2.749489946,5.57481888,5.221701715,0.380652857
